,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
mitigating_personlige utfordringer,149,mitigating_personlige utfordringer,mitigating,personlige utfordringer,personal challenges,burden,challenges
mitigating_personlige helseproblemer,148,mitigating_personlige helseproblemer,mitigating,personlige helseproblemer,personal health problems,burden,health
aggravating_uaktsom kjøring,144,aggravating_uaktsom kjøring,aggravating,uaktsom kjøring,negligent driving,driving,negligent
aggravating_varighet,142,aggravating_varighet,aggravating,varighet,duration,severe,long_time
mitigating_offeret har delvis skyld,138,mitigating_offeret har delvis skyld,mitigating,offeret har delvis skyld,the victim is partly to blame,cause,provoked
aggravating_forsvarsløst offer,122,aggravating_forsvarsløst offer,aggravating,forsvarsløst offer,defenseless victim,victim,power
aggravating_trusler mot offentlig tjenestemann,119,aggravating_trusler mot offentlig tjenestemann,aggravating,trusler mot offentlig tjenestemann,threats against public officials,threats,official
aggravating_brudd på besøksforbud,117,aggravating_brudd på besøksforbud,aggravating,brudd på besøksforbud,violation of a restraining order,violation,restraining
aggravating_systematisk utnyttelse,117,aggravating_systematisk utnyttelse,aggravating,systematisk utnyttelse,systematic exploitation,severe,abuse
mitigating_av liten betydning gitt omstendighetene,115,mitigating_av liten betydning gitt omstendighetene,mitigating,av liten betydning gitt omstendighetene,of little importance given the circumstances,DELETE,
aggravating_besittelse av farlige gjenstander,114,aggravating_besittelse av farlige gjenstander,aggravating,besittelse av farlige gjenstander,possession of dangerous objects,object,dangerous
aggravating_drapstrusler,107,aggravating_drapstrusler,aggravating,drapstrusler,death threats,threats,death
aggravating_vold på offentlig sted,98,aggravating_vold på offentlig sted,aggravating,vold på offentlig sted,violence in a public place,place,public
aggravating_hærverk,91,aggravating_hærverk,aggravating,hærverk,vandalism,violation,vandalism
mitigating_berettiget sinne,89,mitigating_berettiget sinne,mitigating,berettiget sinne,justified anger,cause,provoked
mitigating_god mulighet for rehabilitering,89,mitigating_god mulighet for rehabilitering,mitigating,god mulighet for rehabilitering,good opportunity for rehabilitation,potential_rehabilitation,
aggravating_særlig farlig,85,aggravating_særlig farlig,aggravating,særlig farlig,particularly dangerous,preventative,
aggravating_personlig vinning,85,aggravating_personlig vinning,aggravating,personlig vinning,personal gain,cause,personal_gain
mitigating_begrenset mental kapasitet,71,mitigating_begrenset mental kapasitet,mitigating,begrenset mental kapasitet,limited mental capacity,mental,
aggravating_salg av ulovlige produkter,70,aggravating_salg av ulovlige produkter,aggravating,salg av ulovlige produkter,sale of illegal products,drugs,sale
mitigating_ingen tidligere domfellelser,69,mitigating_ingen tidligere domfellelser,mitigating,ingen tidligere domfellelser,no previous convictions,no_previous_conviction,
mitigating_ung alder,64,mitigating_ung alder,mitigating,ung alder,young age,young_age,
mitigating_rus,63,mitigating_rus,mitigating,rus,intoxication,minor,intoxication
aggravating_besittelse av ulovlige gjenstander,56,aggravating_besittelse av ulovlige gjenstander,aggravating,besittelse av ulovlige gjenstander,possession of illegal items,violation,possession_illegal_items
mitigating_begrenset skade,55,mitigating_begrenset skade,mitigating,begrenset skade,limited damage,minor,damage
aggravating_lettere straff bot,54,aggravating_lettere straff bot,aggravating,lettere straff bot,lighter punishment fine,cumulative_offense,
aggravating_misbruk,53,aggravating_misbruk,aggravating,misbruk,abuse,severe,abuse
aggravating_uaktsom oppførsel,47,aggravating_uaktsom oppførsel,aggravating,uaktsom oppførsel,negligent conduct,life_health,negligence
aggravating_planlagt ran,42,aggravating_planlagt ran,aggravating,planlagt ran,planned robbery,premeditated,
aggravating_brudd på straffeloven,42,aggravating_brudd på straffeloven,aggravating,brudd på straffeloven,violation of the Criminal Code,DELETE,
aggravating_trygdesvindel,41,aggravating_trygdesvindel,aggravating,trygdesvindel,social security fraud,violation,fraud
mitigating_straffen sonet i varetekt,41,mitigating_straffen sonet i varetekt,mitigating,straffen sonet i varetekt,sentence served in custody,processing_time,
aggravating_organisert kriminell organisasjon,38,aggravating_organisert kriminell organisasjon,aggravating,organisert kriminell organisasjon,organized criminal organization,organized,
aggravating_påvirket av narkotika,38,aggravating_påvirket av narkotika,aggravating,påvirket av narkotika,under the influence of drugs,drugs,
aggravating_ikke innrømmet noen forseelse,37,aggravating_ikke innrømmet noen forseelse,aggravating,ikke innrømmet noen forseelse,admitted no wrongdoing,no_confession,
mitigating_mindreårig gjerningsperson,37,mitigating_mindreårig gjerningsperson,mitigating,mindreårig gjerningsperson,minor perpetrator,minor,role
aggravating_profesjonelt kriminelt nettverk,36,aggravating_profesjonelt kriminelt nettverk,aggravating,profesjonelt kriminelt nettverk,professional criminal network,organized,
mitigating_omsorg for barn,36,mitigating_omsorg for barn,mitigating,omsorg for barn,care for children,burden,children
aggravating_voldtekt,35,aggravating_voldtekt,aggravating,voldtekt,rape,violation,rape
mitigating_straffen vil være en spesielt høy byrde,32,mitigating_straffen vil være en spesielt høy byrde,mitigating,straffen vil være en spesielt høy byrde,the penalty will be a particularly heavy burden,burden,
aggravating_planlagt,31,aggravating_planlagt,aggravating,planlagt,planned,premeditated,
aggravating_psykisk vold,29,aggravating_psykisk vold,aggravating,psykisk vold,psychological violence,life_health,psychological
aggravating_kumulative lovbrudd,29,aggravating_kumulative lovbrudd,aggravating,kumulative lovbrudd,cumulative offences,cumulative_offense,
aggravating_vold,29,aggravating_vold,aggravating,vold,violence,life_health,violence
mitigating_flere formildende omstendigheter,29,mitigating_flere formildende omstendigheter,mitigating,flere formildende omstendigheter,several mitigating circumstances,DELETE,
aggravating_kjøring på offentlig sted,28,aggravating_kjøring på offentlig sted,aggravating,kjøring på offentlig sted,driving in a public place,driving,busy
aggravating_forulemping av offentlig tjenestemann,28,aggravating_forulemping av offentlig tjenestemann,aggravating,forulemping av offentlig tjenestemann,harassment of a public official,violation,official
aggravating_brudd på prøveløslatelse,27,aggravating_brudd på prøveløslatelse,aggravating,brudd på prøveløslatelse,parole violation,violation,parole
aggravating_passasjer i bilen,27,aggravating_passasjer i bilen,aggravating,passasjer i bilen,passenger in the car,driving,passengers
aggravating_hvitvasking av penger,26,aggravating_hvitvasking av penger,aggravating,hvitvasking av penger,money laundering,violation,fraud
mitigating_delvis tilståelse,26,mitigating_delvis tilståelse,mitigating,delvis tilståelse,partial confession,confession,limited
aggravating_hatforbrytelse,24,aggravating_hatforbrytelse,aggravating,hatforbrytelse,hate crime,hate_crime,
aggravating_bæring av kniv på offentlig sted,23,aggravating_bæring av kniv på offentlig sted,aggravating,bæring av kniv på offentlig sted,carrying a knife in a public place,object,knife
aggravating_kriminalitet under prøveløslatelse,23,aggravating_kriminalitet under prøveløslatelse,aggravating,kriminalitet under prøveløslatelse,crime while on parole,violation,parole
aggravating_ordensforstyrrelse,21,aggravating_ordensforstyrrelse,aggravating,ordensforstyrrelse,disorderly conduct,violation,disorderly
aggravating_frihetsberøvelse,20,aggravating_frihetsberøvelse,aggravating,frihetsberøvelse,deprivation of liberty,violation,deprivation_of_liberty
mitigating_under minstestraff,20,mitigating_under minstestraff,mitigating,under minstestraff,under the minimum sentence,DELETE,
mitigating_selvforsvar,20,mitigating_selvforsvar,mitigating,selvforsvar,self defense,cause,provoked
aggravating_plan for fremtidige forbrytelser,19,aggravating_plan for fremtidige forbrytelser,aggravating,plan for fremtidige forbrytelser,plan for future crimes,preventative,
mitigating_handlet på grunn av avhengighet,19,mitigating_handlet på grunn av avhengighet,mitigating,handlet på grunn av avhengighet,acted out of addiction,mental,substance_abuse
mitigating_personlige utfordinger,18,mitigating_personlige utfordinger,mitigating,personlige utfordinger,personal challenges,burden,challenges
aggravating_bruk av kniv,16,aggravating_bruk av kniv,aggravating,bruk av kniv,use of knife,object,knife
aggravating_trakassering av offentlig tjenestemann,15,aggravating_trakassering av offentlig tjenestemann,aggravating,trakassering av offentlig tjenestemann,harassment of public official,violation,official
aggravating_besittelse av narkotika,14,aggravating_besittelse av narkotika,aggravating,besittelse av narkotika,possession of drugs,drugs,possession
aggravating_vold i et forhold,14,aggravating_vold i et forhold,aggravating,vold i et forhold,violence in a relationship,victim,relationship
aggravating_heleri,14,aggravating_heleri,aggravating,heleri,healing,violation,theft
aggravating_forsøk på bedrageri,14,aggravating_forsøk på bedrageri,aggravating,forsøk på bedrageri,attempted fraud,violation,fraud
mitigating_uvitende uaktsomhet,14,mitigating_uvitende uaktsomhet,mitigating,uvitende uaktsomhet,ignorant negligence,minor,ignorant
aggravating_skadeverk,13,aggravating_skadeverk,aggravating,skadeverk,damage,severe,damage
aggravating_tyveri,13,aggravating_tyveri,aggravating,tyveri,theft,violation,theft
aggravating_bruk av farlige gjenstander,13,aggravating_bruk av farlige gjenstander,aggravating,bruk av farlige gjenstander,use of hazardous materials,object,dangerous
aggravating_allmennpreventive hensyn,13,aggravating_allmennpreventive hensyn,aggravating,allmennpreventive hensyn,general preventive considerations,preventative,
aggravating_aldersforskjell,13,aggravating_aldersforskjell,aggravating,aldersforskjell,age difference,victim,age_difference
aggravating_hensynsløs atferd,12,aggravating_hensynsløs atferd,aggravating,hensynsløs atferd,reckless behavior,reckless,
aggravating_tillitsbrudd,12,aggravating_tillitsbrudd,aggravating,tillitsbrudd,breach of trust,trust,
aggravating_betydelig beløp,12,aggravating_betydelig beløp,aggravating,betydelig beløp,significant amount,DELETE,
mitigating_erkjennelse,12,mitigating_erkjennelse,mitigating,erkjennelse,recognition,confession,
aggravating_bedrageri,11,aggravating_bedrageri,aggravating,bedrageri,fraud,violation,fraud
aggravating_fartsovertredelse,11,aggravating_fartsovertredelse,aggravating,fartsovertredelse,speeding violation,driving,speed
aggravating_spredningsfare,11,aggravating_spredningsfare,aggravating,spredningsfare,spread hazard,DELETE,
aggravating_ran,10,aggravating_ran,aggravating,ran,robbery,violation,robbery
aggravating_trafikkuhell,10,aggravating_trafikkuhell,aggravating,trafikkuhell,traffic accident,driving,accident
aggravating_særlig grov,10,aggravating_særlig grov,aggravating,særlig grov,particularly rough,DELETE,
aggravating_lettere straff ubetinget fengsel,10,aggravating_lettere straff ubetinget fengsel,aggravating,lettere straff ubetinget fengsel,lighter sentence unconditional imprisonment,DELETE,
aggravating_høy promille,9,aggravating_høy promille,aggravating,høy promille,high blood-alcohol level,intoxication,
aggravating_kroppskrenkelse,9,aggravating_kroppskrenkelse,aggravating,kroppskrenkelse,bodily harm,life_health,
aggravating_brudd på våpenloven,9,aggravating_brudd på våpenloven,aggravating,brudd på våpenloven,Violation of the Arms Act,violation,weapon
aggravating_betydelige trafikkuhell,9,aggravating_betydelige trafikkuhell,aggravating,betydelige trafikkuhell,significant traffic accidents,driving,accident
aggravating_dokumentfalsk,9,aggravating_dokumentfalsk,aggravating,dokumentfalsk,document forgery,violation,fraud
aggravating_vold mot forsvarsløst offer,8,aggravating_vold mot forsvarsløst offer,aggravating,vold mot forsvarsløst offer,violence against a defenseless victim,victim,power
aggravating_fare for liv eller helse,8,aggravating_fare for liv eller helse,aggravating,fare for liv eller helse,danger to life or health,life_health,
aggravating_betydelig skadepotensial,8,aggravating_betydelig skadepotensial,aggravating,betydelig skadepotensial,significant damage potential,severe,damage
aggravating_bevæpnet for konfrontasjon,8,aggravating_bevæpnet for konfrontasjon,aggravating,bevæpnet for konfrontasjon,armed for confrontation,object,weapon
aggravating_brudd på identifikasjonsplikten,8,aggravating_brudd på identifikasjonsplikten,aggravating,brudd på identifikasjonsplikten,breach of the obligation to identify,violation,identification
aggravating_lettere straff betinget fengsel,8,aggravating_lettere straff betinget fengsel,aggravating,lettere straff betinget fengsel,lighter sentence suspended imprisonment,cumulative_offense,
aggravating_forsikringsbedrageri,8,aggravating_forsikringsbedrageri,aggravating,forsikringsbedrageri,insurance fraud,violation,fraud
mitigating_grov uaktsomhet,8,mitigating_grov uaktsomhet,mitigating,grov uaktsomhet,gross negligence,minor,negligence
mitigating_tvang,8,mitigating_tvang,mitigating,tvang,compulsion,cause,compulsion
aggravating_forårsaket en annens død,7,aggravating_forårsaket en annens død,aggravating,forårsaket en annens død,caused the death of another,life_health,death
aggravating_mishandling,7,aggravating_mishandling,aggravating,mishandling,mistreatment,life_health,mistreatment
aggravating_grov vold,7,aggravating_grov vold,aggravating,grov vold,serious violence,life_health,
aggravating_høy fart,7,aggravating_høy fart,aggravating,høy fart,high speed,driving,speed
aggravating_alvorlige trusler,7,aggravating_alvorlige trusler,aggravating,alvorlige trusler,serious threats,threats,
aggravating_bedragerier,7,aggravating_bedragerier,aggravating,bedragerier,frauds,violation,fraud
mitigating_bidrag til oppklaring,7,mitigating_bidrag til oppklaring,mitigating,bidrag til oppklaring,contribution to clarification,confession,aided_law_enforcement
mitigating_tilbakebetaling,7,mitigating_tilbakebetaling,mitigating,tilbakebetaling,refund,DELETE,
aggravating_særdeles skjerpende omstendigheter,6,aggravating_særdeles skjerpende omstendigheter,aggravating,særdeles skjerpende omstendigheter,particularly aggravating circumstances,DELETE,
aggravating_høy påvirkningsgrad,6,aggravating_høy påvirkningsgrad,aggravating,høy påvirkningsgrad,high degree of influence,intoxication,
aggravating_passasjer,6,aggravating_passasjer,aggravating,passasjer,driving,driving,passengers
aggravating_bøteforhold,6,aggravating_bøteforhold,aggravating,bøteforhold,penalty ratio,DELETE,
aggravating_stort skadepotensial,6,aggravating_stort skadepotensial,aggravating,stort skadepotensial,high damage potential,severe,damage
aggravating_betydelig trafikkuhell,6,aggravating_betydelig trafikkuhell,aggravating,betydelig trafikkuhell,significant traffic accident,driving,accident
aggravating_medvirkning til salg av narkotika,6,aggravating_medvirkning til salg av narkotika,aggravating,medvirkning til salg av narkotika,participation in the sale of drugs,drugs,sale
aggravating_hovedorganisator av narkotikasalget,6,aggravating_hovedorganisator av narkotikasalget,aggravating,hovedorganisator av narkotikasalget,main organizer of drug sales,drugs,sale
aggravating_bruk av mobiltelefon under kjøring,6,aggravating_bruk av mobiltelefon under kjøring,aggravating,bruk av mobiltelefon under kjøring,using a mobile phone while driving,driving,phone
aggravating_høy hastighet,6,aggravating_høy hastighet,aggravating,høy hastighet,high speed,driving,speed
aggravating_stort omfang,6,aggravating_stort omfang,aggravating,stort omfang,large scope,DELETE,
aggravating_regnskapsovertredelser,6,aggravating_regnskapsovertredelser,aggravating,regnskapsovertredelser,accounting violations,violation,fraud
aggravating_voldsutøvelse,6,aggravating_voldsutøvelse,aggravating,voldsutøvelse,exercise of violence,life_health,violence
aggravating_kjøring over meget lange strekninger,6,aggravating_kjøring over meget lange strekninger,aggravating,kjøring over meget lange strekninger,driving over very long distances,driving,distance
aggravating_bakmannsrolle i narkotikainnførsel,6,aggravating_bakmannsrolle i narkotikainnførsel,aggravating,bakmannsrolle i narkotikainnførsel,mastermind role in drug importation,drugs,import
mitigating_sårbar gjerningsperson,6,mitigating_sårbar gjerningsperson,mitigating,sårbar gjerningsperson,vulnerable perpetrator,burden,vulnerable
mitigating_personlige forhold,6,mitigating_personlige forhold,mitigating,personlige forhold,personal relationships,DELETE,
aggravating_bilbrukstyveri,5,aggravating_bilbrukstyveri,aggravating,bilbrukstyveri,car theft,violation,theft
aggravating_gjentatte overgrep,5,aggravating_gjentatte overgrep,aggravating,gjentatte overgrep,repeated abuse,repeated_offense,
aggravating_brudd på viltloven,5,aggravating_brudd på viltloven,aggravating,brudd på viltloven,Violation of the Game Act,violation,games_act
aggravating_oppbevaring av narkotika,5,aggravating_oppbevaring av narkotika,aggravating,oppbevaring av narkotika,drug possession,drugs,
aggravating_narkotikaovertredelser,5,aggravating_narkotikaovertredelser,aggravating,narkotikaovertredelser,drug offences,drugs,
aggravating_bruk av vold,5,aggravating_bruk av vold,aggravating,bruk av vold,use of violence,life_health,violence
aggravating_deling av overgrepsmateriale,5,aggravating_deling av overgrepsmateriale,aggravating,deling av overgrepsmateriale,sharing of abuse material,violation,sharing_abuse_material
aggravating_blandingsrus,5,aggravating_blandingsrus,aggravating,blandingsrus,mixed intoxication,intoxication,
aggravating_ran på offentlig sted,5,aggravating_ran på offentlig sted,aggravating,ran på offentlig sted,robbery in a public place,place,public
aggravating_flere personer involvert,5,aggravating_flere personer involvert,aggravating,flere personer involvert,several people involved,organized,
aggravating_kjøring i påvirket tilstand,5,aggravating_kjøring i påvirket tilstand,aggravating,kjøring i påvirket tilstand,driving under the influence,driving,intoxication
aggravating_bruk av våpen,5,aggravating_bruk av våpen,aggravating,bruk av våpen,use of weapons,object,weapon
aggravating_misbruk av tillitsforhold,5,aggravating_misbruk av tillitsforhold,aggravating,misbruk av tillitsforhold,abuse of trust,trust,
aggravating_planlagt over tid,5,aggravating_planlagt over tid,aggravating,planlagt over tid,planned over time,premeditated,
mitigating_overskridelse av nødverge,5,mitigating_overskridelse av nødverge,mitigating,overskridelse av nødverge,exceeding emergency guardian,DELETE,
aggravating_grove trusler,4,aggravating_grove trusler,aggravating,grove trusler,serious threats,threats,
aggravating_særlig krenkende,4,aggravating_særlig krenkende,aggravating,særlig krenkende,particularly offensive,DELETE,
aggravating_materielle skader,4,aggravating_materielle skader,aggravating,materielle skader,material damages,severe,damage
aggravating_kjøring i tettbebygd strøk,4,aggravating_kjøring i tettbebygd strøk,aggravating,kjøring i tettbebygd strøk,driving in densely populated areas,driving,busy
aggravating_psykiske ettervirkninger,4,aggravating_psykiske ettervirkninger,aggravating,psykiske ettervirkninger,psychological aftereffects,life_health,psychological
aggravating_utnyttelse av tillit,4,aggravating_utnyttelse av tillit,aggravating,utnyttelse av tillit,exploitation of trust,trust,
aggravating_fysisk vold,4,aggravating_fysisk vold,aggravating,fysisk vold,physical violence,life_health,violence
aggravating_grovt tyveri,4,aggravating_grovt tyveri,aggravating,grovt tyveri,aggravated theft,violation,theft
aggravating_maskerte seg,4,aggravating_maskerte seg,aggravating,maskerte seg,masked himself,violation,identification
aggravating_hensynsløs og særdeles skremmende måte,4,aggravating_hensynsløs og særdeles skremmende måte,aggravating,hensynsløs og særdeles skremmende måte,reckless and extremely frightening manner,reckless,
aggravating_kjøring på dagtid,4,aggravating_kjøring på dagtid,aggravating,kjøring på dagtid,driving during the day,driving,day
aggravating_overfall,4,aggravating_overfall,aggravating,overfall,assault,violation,assault
aggravating_bæring av våpen på offentlig sted,4,aggravating_bæring av våpen på offentlig sted,aggravating,bæring av våpen på offentlig sted,carrying a weapon in a public place,object,weapon
aggravating_hensynsløs adferd,4,aggravating_hensynsløs adferd,aggravating,hensynsløs adferd,reckless behavior,reckless,
aggravating_vold og trusler mot offentlig tjenestemann,4,aggravating_vold og trusler mot offentlig tjenestemann,aggravating,vold og trusler mot offentlig tjenestemann,violence and threats against public officials,violation,official
aggravating_passasjerer i bilen,4,aggravating_passasjerer i bilen,aggravating,passasjerer i bilen,passengers in the car,driving,passengers
aggravating_brudd på politiets pålegg,4,aggravating_brudd på politiets pålegg,aggravating,brudd på politiets pålegg,violation of police orders,violation,police_orders
aggravating_brudd på legemiddelloven,4,aggravating_brudd på legemiddelloven,aggravating,brudd på legemiddelloven,Violation of the Medicines Act,violation,medicines_act
aggravating_uriktig forklaring,4,aggravating_uriktig forklaring,aggravating,uriktig forklaring,incorrect explanation,DELETE,
aggravating_bruk av vold og trusler,4,aggravating_bruk av vold og trusler,aggravating,bruk av vold og trusler,use of violence and threats,threats,
aggravating_våpen vist,4,aggravating_våpen vist,aggravating,våpen vist,weapon shown,object,weapon
aggravating_medvirkning til grov utpresning,4,aggravating_medvirkning til grov utpresning,aggravating,medvirkning til grov utpresning,complicity in gross extortion,violation,extortion
aggravating_forsøk på grovt bedrageri,4,aggravating_forsøk på grovt bedrageri,aggravating,forsøk på grovt bedrageri,attempted gross fraud,violation,fraud
aggravating_stor spredningsfare,4,aggravating_stor spredningsfare,aggravating,stor spredningsfare,high risk of spread,DELETE,
aggravating_kjøring i tettbygd strøk,4,aggravating_kjøring i tettbygd strøk,aggravating,kjøring i tettbygd strøk,driving in densely populated areas,driving,busy
aggravating_kjøring over lang strekning,4,aggravating_kjøring over lang strekning,aggravating,kjøring over lang strekning,driving over a long distance,driving,distance
aggravating_helsebedrageri,4,aggravating_helsebedrageri,aggravating,helsebedrageri,health fraud,violation,fraud
aggravating_alvorlige psykiske konsekvenser for fornærmede,4,aggravating_alvorlige psykiske konsekvenser for fornærmede,aggravating,alvorlige psykiske konsekvenser for fornærmede,serious psychological consequences for the victim,life_health,psychological
aggravating_skudd løsnet,4,aggravating_skudd løsnet,aggravating,skudd løsnet,shots fired,violation,shots
aggravating_fornærmedes foreldre vitner,4,aggravating_fornærmedes foreldre vitner,aggravating,fornærmedes foreldre vitner,victim's parents testify,DELETE,
aggravating_alvorlige og gjentatte trusler,4,aggravating_alvorlige og gjentatte trusler,aggravating,alvorlige og gjentatte trusler,serious and repeated threats,threats,
aggravating_konsekvenser for foreldrene og familien,4,aggravating_konsekvenser for foreldrene og familien,aggravating,konsekvenser for foreldrene og familien,consequences for the parents and the family,DELETE,
aggravating_fornærmede ble etterlyst og navngitt i riksdekkende media,4,aggravating_fornærmede ble etterlyst og navngitt i riksdekkende media,aggravating,fornærmede ble etterlyst og navngitt i riksdekkende media,the victim was wanted and named in the national media,DELETE,
aggravating_belastende for foreldrene,4,aggravating_belastende for foreldrene,aggravating,belastende for foreldrene,burdensome for the parents,DELETE,
aggravating_utrygghet for fornærmedes søster og hennes samboer,4,aggravating_utrygghet for fornærmedes søster og hennes samboer,aggravating,utrygghet for fornærmedes søster og hennes samboer,insecurity for the victim's sister and her partner,DELETE,
aggravating_fortsatte å utøve vold,4,aggravating_fortsatte å utøve vold,aggravating,fortsatte å utøve vold,continued to commit violence,severe,long_time
aggravating_brukte knyttet neve mot hode,4,aggravating_brukte knyttet neve mot hode,aggravating,brukte knyttet neve mot hode,used a clenched fist to the head,life_health,violence
aggravating_utnyttet sin stilling,4,aggravating_utnyttet sin stilling,aggravating,utnyttet sin stilling,took advantage of his position,DELETE,
mitigating_forsøk,4,mitigating_forsøk,mitigating,forsøk,attempt,DELETE,
mitigating_delvis erkjennelse av straffeskyld,4,mitigating_delvis erkjennelse av straffeskyld,mitigating,delvis erkjennelse av straffeskyld,partial acknowledgment of criminal guilt,confession,limited
mitigating_lav styrkegrad,4,mitigating_lav styrkegrad,mitigating,lav styrkegrad,low strength,DELETE,
mitigating_bidratt til oppklaring av saken,4,mitigating_bidratt til oppklaring av saken,mitigating,bidratt til oppklaring av saken,contributed to clarifying the matter,confession,aided_law_enforcement
aggravating_utnyttelse,3,aggravating_utnyttelse,aggravating,utnyttelse,exploitation,severe,abuse
aggravating_oppfordret til overgrepet,3,aggravating_oppfordret til overgrepet,aggravating,oppfordret til overgrepet,encouraged the assault,DELETE,
aggravating_skremmende og hensynsløs adferd,3,aggravating_skremmende og hensynsløs adferd,aggravating,skremmende og hensynsløs adferd,intimidating and reckless behaviour,reckless,
aggravating_planlagt handling,3,aggravating_planlagt handling,aggravating,planlagt handling,planned action,premeditated,
aggravating_mindre tyveri,3,aggravating_mindre tyveri,aggravating,mindre tyveri,minor theft,violation,theft
aggravating_seksuell handling med barn under 16 år,3,aggravating_seksuell handling med barn under 16 år,aggravating,seksuell handling med barn under 16 år,sexual act with children under the age of 16,victim,underaged
aggravating_fartsoverskridelse,3,aggravating_fartsoverskridelse,aggravating,fartsoverskridelse,speeding,driving,speed
aggravating_salg av narkotika,3,aggravating_salg av narkotika,aggravating,salg av narkotika,sale of drugs,drugs,sale
aggravating_uforholdsmessig vold,3,aggravating_uforholdsmessig vold,aggravating,uforholdsmessig vold,disproportionate violence,life_health,violence
aggravating_materiell skade,3,aggravating_materiell skade,aggravating,materiell skade,material damage,severe,damage
aggravating_særlig skjerpende,3,aggravating_særlig skjerpende,aggravating,særlig skjerpende,particularly aggravating,DELETE,
aggravating_kroppskrenkelser,3,aggravating_kroppskrenkelser,aggravating,kroppskrenkelser,bodily harm,life_health,
aggravating_grove tillitsbrudd,3,aggravating_grove tillitsbrudd,aggravating,grove tillitsbrudd,gross breach of trust,trust,
aggravating_fast forbrytersk forsett,3,aggravating_fast forbrytersk forsett,aggravating,fast forbrytersk forsett,fixed criminal intent,DELETE,
