"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_flere personer involvert",5,"aggravating_flere personer involvert","aggravating","flere personer involvert"
"aggravating_kjøring i påvirket tilstand",5,"aggravating_kjøring i påvirket tilstand","aggravating","kjøring i påvirket tilstand"
"aggravating_bruk av våpen",5,"aggravating_bruk av våpen","aggravating","bruk av våpen"
"aggravating_misbruk av tillitsforhold",5,"aggravating_misbruk av tillitsforhold","aggravating","misbruk av tillitsforhold"
"aggravating_planlagt over tid",5,"aggravating_planlagt over tid","aggravating","planlagt over tid"
"mitigating_overskridelse av nødverge",5,"mitigating_overskridelse av nødverge","mitigating","overskridelse av nødverge"
"aggravating_grove trusler",4,"aggravating_grove trusler","aggravating","grove trusler"
"aggravating_særlig krenkende",4,"aggravating_særlig krenkende","aggravating","særlig krenkende"
"aggravating_materielle skader",4,"aggravating_materielle skader","aggravating","materielle skader"
"aggravating_kjøring i tettbebygd strøk",4,"aggravating_kjøring i tettbebygd strøk","aggravating","kjøring i tettbebygd strøk"
"aggravating_psykiske ettervirkninger",4,"aggravating_psykiske ettervirkninger","aggravating","psykiske ettervirkninger"
"aggravating_utnyttelse av tillit",4,"aggravating_utnyttelse av tillit","aggravating","utnyttelse av tillit"
"aggravating_fysisk vold",4,"aggravating_fysisk vold","aggravating","fysisk vold"
"aggravating_grovt tyveri",4,"aggravating_grovt tyveri","aggravating","grovt tyveri"
"aggravating_maskerte seg",4,"aggravating_maskerte seg","aggravating","maskerte seg"
"aggravating_hensynsløs og særdeles skremmende måte",4,"aggravating_hensynsløs og særdeles skremmende måte","aggravating","hensynsløs og særdeles skremmende måte"
"aggravating_kjøring på dagtid",4,"aggravating_kjøring på dagtid","aggravating","kjøring på dagtid"
"aggravating_overfall",4,"aggravating_overfall","aggravating","overfall"
"aggravating_bæring av våpen på offentlig sted",4,"aggravating_bæring av våpen på offentlig sted","aggravating","bæring av våpen på offentlig sted"
"aggravating_hensynsløs adferd",4,"aggravating_hensynsløs adferd","aggravating","hensynsløs adferd"
"aggravating_vold og trusler mot offentlig tjenestemann",4,"aggravating_vold og trusler mot offentlig tjenestemann","aggravating","vold og trusler mot offentlig tjenestemann"
"aggravating_passasjerer i bilen",4,"aggravating_passasjerer i bilen","aggravating","passasjerer i bilen"
"aggravating_brudd på politiets pålegg",4,"aggravating_brudd på politiets pålegg","aggravating","brudd på politiets pålegg"
"aggravating_brudd på legemiddelloven",4,"aggravating_brudd på legemiddelloven","aggravating","brudd på legemiddelloven"
"aggravating_uriktig forklaring",4,"aggravating_uriktig forklaring","aggravating","uriktig forklaring"
"aggravating_bruk av vold og trusler",4,"aggravating_bruk av vold og trusler","aggravating","bruk av vold og trusler"
"aggravating_våpen vist",4,"aggravating_våpen vist","aggravating","våpen vist"
"aggravating_medvirkning til grov utpresning",4,"aggravating_medvirkning til grov utpresning","aggravating","medvirkning til grov utpresning"
"aggravating_forsøk på grovt bedrageri",4,"aggravating_forsøk på grovt bedrageri","aggravating","forsøk på grovt bedrageri"
"aggravating_stor spredningsfare",4,"aggravating_stor spredningsfare","aggravating","stor spredningsfare"
"aggravating_kjøring i tettbygd strøk",4,"aggravating_kjøring i tettbygd strøk","aggravating","kjøring i tettbygd strøk"
"aggravating_kjøring over lang strekning",4,"aggravating_kjøring over lang strekning","aggravating","kjøring over lang strekning"
"aggravating_helsebedrageri",4,"aggravating_helsebedrageri","aggravating","helsebedrageri"
"aggravating_alvorlige psykiske konsekvenser for fornærmede",4,"aggravating_alvorlige psykiske konsekvenser for fornærmede","aggravating","alvorlige psykiske konsekvenser for fornærmede"
"aggravating_skudd løsnet",4,"aggravating_skudd løsnet","aggravating","skudd løsnet"
"aggravating_fornærmedes foreldre vitner",4,"aggravating_fornærmedes foreldre vitner","aggravating","fornærmedes foreldre vitner"
"aggravating_alvorlige og gjentatte trusler",4,"aggravating_alvorlige og gjentatte trusler","aggravating","alvorlige og gjentatte trusler"
"aggravating_konsekvenser for foreldrene og familien",4,"aggravating_konsekvenser for foreldrene og familien","aggravating","konsekvenser for foreldrene og familien"
"aggravating_fornærmede ble etterlyst og navngitt i riksdekkende media",4,"aggravating_fornærmede ble etterlyst og navngitt i riksdekkende media","aggravating","fornærmede ble etterlyst og navngitt i riksdekkende media"
"aggravating_belastende for foreldrene",4,"aggravating_belastende for foreldrene","aggravating","belastende for foreldrene"
"aggravating_utrygghet for fornærmedes søster og hennes samboer",4,"aggravating_utrygghet for fornærmedes søster og hennes samboer","aggravating","utrygghet for fornærmedes søster og hennes samboer"
"aggravating_fortsatte å utøve vold",4,"aggravating_fortsatte å utøve vold","aggravating","fortsatte å utøve vold"
"aggravating_brukte knyttet neve mot hode",4,"aggravating_brukte knyttet neve mot hode","aggravating","brukte knyttet neve mot hode"
"aggravating_utnyttet sin stilling",4,"aggravating_utnyttet sin stilling","aggravating","utnyttet sin stilling"
"mitigating_forsøk",4,"mitigating_forsøk","mitigating","forsøk"
"mitigating_delvis erkjennelse av straffeskyld",4,"mitigating_delvis erkjennelse av straffeskyld","mitigating","delvis erkjennelse av straffeskyld"
"mitigating_lav styrkegrad",4,"mitigating_lav styrkegrad","mitigating","lav styrkegrad"
"mitigating_bidratt til oppklaring av saken",4,"mitigating_bidratt til oppklaring av saken","mitigating","bidratt til oppklaring av saken"
"aggravating_utnyttelse",3,"aggravating_utnyttelse","aggravating","utnyttelse"
"aggravating_oppfordret til overgrepet",3,"aggravating_oppfordret til overgrepet","aggravating","oppfordret til overgrepet"
"aggravating_skremmende og hensynsløs adferd",3,"aggravating_skremmende og hensynsløs adferd","aggravating","skremmende og hensynsløs adferd"
"aggravating_planlagt handling",3,"aggravating_planlagt handling","aggravating","planlagt handling"
"aggravating_mindre tyveri",3,"aggravating_mindre tyveri","aggravating","mindre tyveri"
"aggravating_seksuell handling med barn under 16 år",3,"aggravating_seksuell handling med barn under 16 år","aggravating","seksuell handling med barn under 16 år"
"aggravating_fartsoverskridelse",3,"aggravating_fartsoverskridelse","aggravating","fartsoverskridelse"
"aggravating_salg av narkotika",3,"aggravating_salg av narkotika","aggravating","salg av narkotika"
"aggravating_uforholdsmessig vold",3,"aggravating_uforholdsmessig vold","aggravating","uforholdsmessig vold"
"aggravating_materiell skade",3,"aggravating_materiell skade","aggravating","materiell skade"
"aggravating_særlig skjerpende",3,"aggravating_særlig skjerpende","aggravating","særlig skjerpende"
"aggravating_kroppskrenkelser",3,"aggravating_kroppskrenkelser","aggravating","kroppskrenkelser"
"aggravating_grove tillitsbrudd",3,"aggravating_grove tillitsbrudd","aggravating","grove tillitsbrudd"
"aggravating_fast forbrytersk forsett",3,"aggravating_fast forbrytersk forsett","aggravating","fast forbrytersk forsett"
"aggravating_gjentatte tilfeller",3,"aggravating_gjentatte tilfeller","aggravating","gjentatte tilfeller"
"aggravating_videresalg",3,"aggravating_videresalg","aggravating","videresalg"
"aggravating_sentral rolle i narkotikakriminalitet",3,"aggravating_sentral rolle i narkotikakriminalitet","aggravating","sentral rolle i narkotikakriminalitet"
"aggravating_alvorlig narkotikakriminalitet",3,"aggravating_alvorlig narkotikakriminalitet","aggravating","alvorlig narkotikakriminalitet"
"aggravating_særlig høy konsentrasjon av alkohol",3,"aggravating_særlig høy konsentrasjon av alkohol","aggravating","særlig høy konsentrasjon av alkohol"
"aggravating_ingen formildende omstendigheter",3,"aggravating_ingen formildende omstendigheter","aggravating","ingen formildende omstendigheter"
"aggravating_planmessig",3,"aggravating_planmessig","aggravating","planmessig"
"aggravating_vold i eget hjem",3,"aggravating_vold i eget hjem","aggravating","vold i eget hjem"
"aggravating_forlatt fornærmede",3,"aggravating_forlatt fornærmede","aggravating","forlatt fornærmede"
"aggravating_vold utført av flere i fellesskap",3,"aggravating_vold utført av flere i fellesskap","aggravating","vold utført av flere i fellesskap"
"aggravating_bruk av farlig slagvåpen",3,"aggravating_bruk av farlig slagvåpen","aggravating","bruk av farlig slagvåpen"
"aggravating_utført av flere i fellesskap",3,"aggravating_utført av flere i fellesskap","aggravating","utført av flere i fellesskap"
"aggravating_forlot fornærmede uten å hjelpe",3,"aggravating_forlot fornærmede uten å hjelpe","aggravating","forlot fornærmede uten å hjelpe"
"aggravating_planlagt vold",3,"aggravating_planlagt vold","aggravating","planlagt vold"
"aggravating_hindring av offentlig tjenestemann",3,"aggravating_hindring av offentlig tjenestemann","aggravating","hindring av offentlig tjenestemann"
"aggravating_gjengkriminalitet",3,"aggravating_gjengkriminalitet","aggravating","gjengkriminalitet"
"aggravating_vold mot flere personer",3,"aggravating_vold mot flere personer","aggravating","vold mot flere personer"
"aggravating_frihetsberøvelsens lengde",3,"aggravating_frihetsberøvelsens lengde","aggravating","frihetsberøvelsens lengde"
"aggravating_identitetskrenkelse",3,"aggravating_identitetskrenkelse","aggravating","identitetskrenkelse"
"aggravating_kjøring under ruspåvirket tilstand",3,"aggravating_kjøring under ruspåvirket tilstand","aggravating","kjøring under ruspåvirket tilstand"
"aggravating_unnlatelse av å stanse for kontroll",3,"aggravating_unnlatelse av å stanse for kontroll","aggravating","unnlatelse av å stanse for kontroll"
"aggravating_betydelig skadepotensiale",3,"aggravating_betydelig skadepotensiale","aggravating","betydelig skadepotensiale"
"aggravating_risiko for spredning",3,"aggravating_risiko for spredning","aggravating","risiko for spredning"
"aggravating_brudd på straffegjennomføringsloven",3,"aggravating_brudd på straffegjennomføringsloven","aggravating","brudd på straffegjennomføringsloven"
"aggravating_brutal voldsutøvelse",3,"aggravating_brutal voldsutøvelse","aggravating","brutal voldsutøvelse"
"aggravating_volden ble filmet",3,"aggravating_volden ble filmet","aggravating","volden ble filmet"
"aggravating_begått mot yngre person",3,"aggravating_begått mot yngre person","aggravating","begått mot yngre person"
"aggravating_leder av organisert kriminell organisasjon",3,"aggravating_leder av organisert kriminell organisasjon","aggravating","leder av organisert kriminell organisasjon"
"aggravating_sentral aktør i kriminelt nettverk",3,"aggravating_sentral aktør i kriminelt nettverk","aggravating","sentral aktør i kriminelt nettverk"
"aggravating_brudd på politiloven",3,"aggravating_brudd på politiloven","aggravating","brudd på politiloven"
"aggravating_profittmotiv",3,"aggravating_profittmotiv","aggravating","profittmotiv"
"aggravating_flere år",3,"aggravating_flere år","aggravating","flere år"
"aggravating_misbrukt stillinger",3,"aggravating_misbrukt stillinger","aggravating","misbrukt stillinger"
"aggravating_forsømmelse av hjelpeplikten",3,"aggravating_forsømmelse av hjelpeplikten","aggravating","forsømmelse av hjelpeplikten"
"aggravating_forlot ulykkesstedet",3,"aggravating_forlot ulykkesstedet","aggravating","forlot ulykkesstedet"
"aggravating_utnyttelse av tillitsforhold",3,"aggravating_utnyttelse av tillitsforhold","aggravating","utnyttelse av tillitsforhold"
"aggravating_betydelig fare for liv og helse",3,"aggravating_betydelig fare for liv og helse","aggravating","betydelig fare for liv og helse"
"aggravating_vold utført av flere personer",3,"aggravating_vold utført av flere personer","aggravating","vold utført av flere personer"
"aggravating_planmessig utført",3,"aggravating_planmessig utført","aggravating","planmessig utført"
"aggravating_medvirkning til ran",3,"aggravating_medvirkning til ran","aggravating","medvirkning til ran"
"aggravating_ran mot unge mennesker",3,"aggravating_ran mot unge mennesker","aggravating","ran mot unge mennesker"
"aggravating_vold mot politiet",3,"aggravating_vold mot politiet","aggravating","vold mot politiet"
"aggravating_forårsaket materielle skader",3,"aggravating_forårsaket materielle skader","aggravating","forårsaket materielle skader"
"aggravating_alvorlig frykt hos offeret",3,"aggravating_alvorlig frykt hos offeret","aggravating","alvorlig frykt hos offeret"
